player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,sprint_speed,oaa
Jazz Chisholm Jr.,665862,2022,93,91,96,94,69,98,94,88,82,24,37,18,94,82
Kyle Tucker,663656,2022,89,74,91,90,75,86,70,69,63,85,67,78,32,89
Ryan Mountcastle,663624,2022,93,91,96,94,69,98,94,88,82,24,37,18,53,80
Paul Goldschmidt,502671,2022,95,72,91,90,90,90,82,82,86,45,92,37,26,10
Gunnar Henderson,683002,2022,,,,,,,,,,,,,91,
Sam Huff,669087,2022,,,,,,,,,,,,,43,
Michael Perez,605421,2022,,,,,,,,,,,,,4,
Tyler Stephenson,663886,2022,,,,,,,,,,,,,31,
Jake Burger,669394,2022,,,,,,,,,,,,,60,
Lourdes Gurriel Jr.,666971,2022,55,86,51,31,64,16,12,80,79,78,24,71,48,26
Michael Papierski,657709,2022,,,,,,,,,,,,,6,
Terrin Vavra,679631,2022,,,,,,,,,,,,,45,
Luke Maile,571912,2022,,,,,,,,,,,,,13,
Nelson Velázquez,676369,2022,,,,,,,,,,,,,73,
Alfonso Rivas,663845,2022,,,,,,,,,,,,,26,23
Luis García,671277,2022,37,71,57,48,12,34,47,18,29,42,1,35,42,1
Brandon Crawford,543063,2022,16,9,11,26,28,34,40,35,23,47,53,12,11,93
Nolan Arenado,571448,2022,75,78,78,71,73,78,53,43,45,97,51,84,13,99
Brandon Nimmo,607043,2022,79,72,57,47,90,67,44,57,48,76,78,80,84,90
Riley Adams,656180,2022,,,,,,,,,,,,,35,
P.J. Higgins,664731,2022,,,,,,,,,,,,,29,
Ben Gamel,592325,2022,51,44,33,31,73,23,33,47,34,37,86,55,65,8
Jake Cronenworth,630105,2022,35,14,22,34,51,47,29,24,18,61,76,88,74,83
Cole Tucker,657061,2022,,,,,,,,,,,,,58,
Darin Ruf,573131,2022,43,11,33,53,53,31,57,53,53,15,88,31,16,
Maikel Franco,596748,2022,6,42,18,15,4,16,20,14,20,59,1,28,13,19
Garrett Cooper,643265,2022,78,71,73,70,76,63,75,63,71,23,53,46,26,
Cody Bellinger,641355,2022,10,6,20,39,4,59,54,57,39,14,35,33,71,92
Whit Merrifield,593160,2022,17,37,22,20,20,25,14,16,9,85,35,82,84,89
Xander Bogaerts,593428,2022,58,71,42,29,76,57,37,35,47,65,59,49,64,88
Alec Bohm,664761,2022,69,98,73,44,61,67,41,73,67,74,11,72,44,4
Sean Bouchard,656248,2022,,,,,,,,,,,,,69,
Michael Massey,686681,2022,,,,,,,,,,,,,44,16
Franchy Cordero,614173,2022,,,,,,,,,,,,,84,3
Bobby Dalbec,666915,2022,24,8,38,61,15,41,84,75,79,2,49,5,76,40
Jose Trevino,624431,2022,12,35,28,30,6,16,25,31,22,73,6,72,9,
J.D. Martinez,502110,2022,84,71,87,85,66,90,87,51,60,29,57,17,24,
Myles Straw,664702,2022,8,29,2,1,35,1,1,14,3,89,61,99,94,98
Francisco Lindor,596019,2022,67,60,69,66,60,81,54,55,58,64,51,59,55,98
Vladimir Guerrero Jr.,665489,2022,83,89,84,75,81,96,79,96,94,81,49,51,34,14
Mike Ford,645801,2022,,,,,,,,,,,,,3,
Vinnie Pasquantino,686469,2022,99,100,98,91,99,92,68,88,88,90,90,80,39,67
Evan Longoria,446334,2022,,,,,,,,,,,,,10,60
Brandon Belt,474832,2022,,,,,,,,,,,,,4,16
