Framber Valdez,Gold Glove Goliathies,5042,4990
Randy Arozarena,Gold Glove Goliathies,3609,5091
Ryan Pressly,Gold Glove Goliathies,7244,4679
Zack Wheeler,Gold Glove Goliathies,5402,4865
José Urquidy,Gold Glove Goliathies,422,5603
Harrison Bader,Gold Glove Goliathies,1593,5399
Eloy Jiménez,Gold Glove Goliathies,1503,5504
Bryan Reynolds,Gold Glove Goliathies,4952,4846
Joey Meneses,Gold Glove Goliathies,4564,4901
Dylan Floro,Gold Glove Goliathies,2674,5326
Dustin May,Gold Glove Goliathies,1196,5529
MJ Melendez,Gold Glove Goliathies,8788,4313
Jonathan India,Gold Glove Goliathies,205,5656
Michael Wacha,Gold Glove Goliathies,655,5568
Craig Kimbrel,Gold Glove Goliathies,5413,4849
Christian Walker,Ironmen of Suck,6780,5835
Trevor Story,Ironmen of Suck,4041,5888
Nate Pearson,Ironmen of Suck,1566,5957
Nolan Gorman,Ironmen of Suck,1564,5940
Braxton Garrett,Ironmen of Suck,382,5987
Spencer Torkelson,Ironmen of Suck,2236,5931
Adley Rutschman,Ironmen of Suck,5410,5851
Vaughn Grissom,Ironmen of Suck,2940,5936
Ke'Bryan Hayes,Ironmen of Suck,439,5872
Bryan De La Cruz,Ironmen of Suck,7746,5798
Gavin Lux,Ironmen of Suck,2586,5892
Trent Grisham,Ironmen of Suck,3711,5900
Tylor Megill,Ironmen of Suck,1230,5863
David Peterson,Ironmen of Suck,6711,5865
Garrett Crochet,Ironmen of Suck,1517,5889
Jarred Kelenic,Ironmen of Suck,1579,5916
Josiah Gray,Ironmen of Suck,4652,5908
Matt Manning,Ironmen of Suck,2128,5878
Mike Soroka,Ironmen of Suck,1472,5930
Manny Machado,Mildly Hungry Hippos,7270,4844
Trea Turner,Mildly Hungry Hippos,4604,5010
Alejandro Kirk,Mildly Hungry Hippos,5656,4906
Ketel Marte,Mildly Hungry Hippos,1685,5283
Sean Manaea,Mildly Hungry Hippos,2122,5262
Jeff McNeil,Mildly Hungry Hippos,923,5275
Tyler O'Neill,Mildly Hungry Hippos,6627,4871
Merrill Kelly,Mildly Hungry Hippos,243,5279
Tyler Mahle,Mildly Hungry Hippos,282,5336
Martín Pérez,Mildly Hungry Hippos,1061,5388
Mitch Haniger,Mildly Hungry Hippos,1435,5293
Dylan Cease,Mildly Hungry Hippos,14769,4108
Ranger Suárez,Mildly Hungry Hippos,1303,5337
Miles Mikolas,Mildly Hungry Hippos,1328,5342
Chris Paddack,Mildly Hungry Hippos,1136,5328
Spencer Turnbull,Mildly Hungry Hippos,1359,5251
Jeremy Peña,Mildly Hungry Hippos,3364,5173
Alex Lange,Mildly Hungry Hippos,9367,4621
Ryan Mountcastle,Mildly Hungry Hippos,9425,4680
Brandon Nimmo,Mildly Hungry Hippos,7358,4753
Casey Mize,Mildly Hungry Hippos,1117,5385
Starling Marte,Pedal to the Mejdal,3380,4556
Justin Verlander,Pedal to the Mejdal,8209,2961
Aaron Nola,Pedal to the Mejdal,2339,4987
Josh Hader,Pedal to the Mejdal,5601,3873
Austin Riley,Pedal to the Mejdal,9929,2355
Kenley Jansen,Pedal to the Mejdal,7736,3164
Alex Cobb,Pedal to the Mejdal,4198,4307
Lance McCullers Jr.,Pedal to the Mejdal,7373,3347
Brandon Woodruff,Pedal to the Mejdal,8341,2895
Jake Cronenworth,Pedal to the Mejdal,1004,5386
Willy Adames,Pedal to the Mejdal,5743,3902
C.J. Cron,Pedal to the Mejdal,7983,3145
Tyler Anderson,Pedal to the Mejdal,74,5585
Jhoan Duran,Pedal to the Mejdal,10991,1996
Taylor Ward,Pedal to the Mejdal,8168,2962
Andrés Giménez,Pedal to the Mejdal,3861,4472
Steven Kwan,Pedal to the Mejdal,828,5478
Luis García,Pedal to the Mejdal,8836,2841
Tyler Stephenson,Pedal to the Mejdal,1492,5214
Alex Verdugo,Pedal to the Mejdal,2263,4977
George Springer,South Jersey Schlemiels,6775,4719
Alex Bregman,South Jersey Schlemiels,4929,5250
Fernando Tatis Jr.,South Jersey Schlemiels,14984,2701
Raisel Iglesias,South Jersey Schlemiels,4535,5277
Ryan McMahon,South Jersey Schlemiels,4559,5284
Marcus Stroman,South Jersey Schlemiels,652,6191
Chris Bassitt,South Jersey Schlemiels,2865,5658
Seiya Suzuki,South Jersey Schlemiels,11340,3534
Rowdy Tellez,South Jersey Schlemiels,8836,4288
Cal Raleigh,South Jersey Schlemiels,9723,4136
Nathan Eovaldi,South Jersey Schlemiels,1686,5958
Seranthony Domínguez,South Jersey Schlemiels,7470,4529
Bryson Stott,South Jersey Schlemiels,727,6089
Charlie Blackmon,South Jersey Schlemiels,1751,5940
Lourdes Gurriel Jr.,South Jersey Schlemiels,2104,5903
Ross Stripling,South Jersey Schlemiels,115,6261
Seth Brown,South Jersey Schlemiels,6856,4772
Shohei Ohtani,South Jersey Schlemiels,14833,2638
Jose Altuve,TBD - A TBA Inc Production,15033,4165
José Abreu,TBD - A TBA Inc Production,7606,4934
Sandy Alcantara,TBD - A TBA Inc Production,6093,5120
Tim Anderson,TBD - A TBA Inc Production,3412,5413
Luis Castillo,TBD - A TBA Inc Production,5566,5082
Kyle Lewis,TBD - A TBA Inc Production,1496,5616
Anthony Rendon,TBD - A TBA Inc Production,1436,5517
Aaron Civale,TBD - A TBA Inc Production,11,5603
Daulton Varsho,TBD - A TBA Inc Production,2767,5468
Jordan Romano,TBD - A TBA Inc Production,7555,4933
Amed Rosario,TBD - A TBA Inc Production,2431,5449
Jameson Taillon,TBD - A TBA Inc Production,2009,5430
Luis Urías,TBD - A TBA Inc Production,6260,4968
Collin McHugh,TBD - A TBA Inc Production,103,5622
Logan Gilbert,TBD - A TBA Inc Production,3083,5425
Andrew Benintendi,TBD - A TBA Inc Production,6399,5093
Garrett Whitlock,TBD - A TBA Inc Production,4497,5249
Austin Hays,TBD - A TBA Inc Production,1126,5560
Josh Naylor,TBD - A TBA Inc Production,6313,4993
Brandon Hughes,TBD - A TBA Inc Production,1220,5499
Juan Soto,The Golden Sombreros,12239,2222
Yu Darvish,The Golden Sombreros,306,5876
Bo Bichette,The Golden Sombreros,4793,4483
Matt Olson,The Golden Sombreros,8970,3225
Shane Bieber,The Golden Sombreros,79,5952
José Berríos,The Golden Sombreros,816,5759
Max Fried,The Golden Sombreros,5970,4227
Roansy Contreras,The Golden Sombreros,4839,4579
Eugenio Suárez,The Golden Sombreros,9429,3156
Oscar Gonzalez,The Golden Sombreros,7652,3658
Jake McCarthy,The Golden Sombreros,736,5770
MacKenzie Gore,The Golden Sombreros,4285,4784
Andrés Muñoz,The Golden Sombreros,9070,3128
Julio Rodríguez,The Golden Sombreros,10509,2729
Aaron Ashby,The Golden Sombreros,9930,2918
William Contreras,The Golden Sombreros,8341,3466
Alexis Díaz,The Golden Sombreros,7830,3667
Nico Hoerner,The Golden Sombreros,933,5711
Hayden Wesneski,The Golden Sombreros,1254,5594
Clayton Kershaw,The Hebrew Hammers,1463,5267
Noah Syndergaard,The Hebrew Hammers,5582,4280
Byron Buxton,The Hebrew Hammers,6409,4005
Luis Severino,The Hebrew Hammers,4621,4577
Josh Bell,The Hebrew Hammers,4488,4469
Dansby Swanson,The Hebrew Hammers,5108,4276
Will Smith,The Hebrew Hammers,2103,5092
Jorge Polanco,The Hebrew Hammers,9210,3274
Triston Mckenzie,The Hebrew Hammers,1500,5239
David Bednar,The Hebrew Hammers,8666,3362
Taijuan Walker,The Hebrew Hammers,2579,4931
